Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales,Critic_Score,User_Score
Hajime no Ippo: The Fighting! (2014),PS3,2014,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,
Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,0.02,0.0,0.03,0.0,0.05,,
Tropico Reloaded,PC,2009,Strategy,Kalypso Media,0.0,0.02,0.0,0.0,0.02,,
Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17,70.0,8.8
Ghost in the Shell,PS,1997,Simulation,Sony Computer Entertainment,0.06,0.04,0.0,0.01,0.11,,
Cabela's Dangerous Hunts 2,XB,2005,Sports,Activision,0.08,0.02,0.0,0.0,0.1,63.0,
Don Bradman Cricket 14,X360,2014,Sports,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01,,
Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23,1.25,,
Dr. Muto,GC,2002,Platform,Midway Games,0.02,0.01,0.0,0.0,0.03,63.0,
Starwinder: The Ultimate Space Race,PS,1996,Racing,Mindscape,0.03,0.02,0.0,0.0,0.05,,
World of Tanks,PC,2011,Shooter,Wargaming.net,0.0,0.23,0.0,0.06,0.29000000000000004,,
Famicom Mini: Makaimura,GBA,2004,Platform,Capcom,0.0,0.0,0.08,0.0,0.08,,
McGrath Vs. Pastrana Freestyle Motocross,PS,2000,Racing,Acclaim Entertainment,0.14,0.1,0.0,0.02,0.26,,
Kids Learn Music A+ Edition,DS,2011,Misc,Unknown,0.05,0.0,0.0,0.0,0.05,,
Rock Band,X360,2007,Misc,Electronic Arts,1.93,0.34,0.0,0.21,2.48,,
Project Sylpheed: Arc of Deception,X360,2006,Shooter,Microsoft Game Studios,0.12,0.01,0.02,0.01,0.16,64.0,8.6
Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015,Misc,Nintendo,0.0,0.0,0.01,0.0,0.01,,
Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0.0,0.08,0.59,81.0,9.0
G-Force,Wii,2009,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05,0.44,69.0,8.0
Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.3999999999999999,,
Beamrider,2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27,,
Ninja Reflex,Wii,2008,Action,Electronic Arts,0.11,0.01,0.0,0.01,0.13,,
FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.24,77.0,8.4
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.8600000000000001,92.0,8.3
Knights of Honor,PC,2004,Strategy,Sunflowers,0.0,0.02,0.0,0.01,0.03,77.0,9.1
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,0.33,0.05,0.25,0.04,0.67,,
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008,Action,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05,,
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.93,,
Resident Evil: Revelations 2,PS3,2015,Action,Capcom,0.06,0.08,0.16,0.03,0.33000000000000007,,
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998,Sports,Sega,0.0,0.0,0.12,0.0,0.12,,
Sega Soccer Slam,PS2,2002,Sports,Sega,0.06,0.05,0.0,0.02,0.13,66.0,
Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,0.13,0.02,0.0,0.02,0.16999999999999998,47.0,6.1
Dreamworks Madagascar Kartz,X360,2009,Racing,Activision,0.14,0.09,0.0,0.02,0.25,,6.0
Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0.52,0.01,0.12,0.05,0.7000000000000001,,
Chaotic: Shadow Warriors,Wii,2009,Action,Activision,0.18,0.0,0.0,0.01,0.19,,
